"X_STATE","IMONTH","mean_mental","State"
15,"08",3.43609022556391,"Hawaii"
15,"09",2.86067019400353,"Hawaii"
15,"10",3.12518195050946,"Hawaii"
15,"11",3.20765027322404,"Hawaii"
15,"12",3.40975609756098,"Hawaii"
16,"01",4.0625,"Idaho"
16,"02",3.80785413744741,"Idaho"
16,"03",3.22931442080378,"Idaho"
16,"04",3.52380952380952,"Idaho"
16,"05",2.6810551558753,"Idaho"
16,"06",3.30973451327434,"Idaho"
16,"07",2.62310030395137,"Idaho"
16,"08",3.71987951807229,"Idaho"
16,"09",3.12131147540984,"Idaho"
16,"10",3.88888888888889,"Idaho"
16,"11",3.940625,"Idaho"
16,"12",3.97132616487455,"Idaho"
17,"01",2.7190332326284,"Illinois"
17,"02",3.69205298013245,"Illinois"
17,"03",3.625,"Illinois"
17,"04",2.8671875,"Illinois"
17,"05",3.91875,"Illinois"
17,"06",3.39659367396594,"Illinois"
17,"07",3.17434869739479,"Illinois"
17,"08",3.93630573248408,"Illinois"
17,"09",3.74948665297741,"Illinois"
17,"10",3.70356472795497,"Illinois"
17,"11",3.31314878892734,"Illinois"
17,"12",3.3203125,"Illinois"
18,"01",4.07885304659498,"Indiana"
18,"02",4.86024844720497,"Indiana"
18,"03",3.6099706744868,"Indiana"
18,"04",4.38247011952191,"Indiana"
18,"05",3.90702274975272,"Indiana"
18,"06",4.12468193384224,"Indiana"
18,"07",3.87151597552685,"Indiana"
18,"08",3.88696210661529,"Indiana"
18,"09",3.72967479674797,"Indiana"
18,"10",4.29192546583851,"Indiana"
18,"11",3.69937369519833,"Indiana"
18,"12",3.94852240228789,"Indiana"
19,"01",3.13238770685579,"Iowa"
19,"02",3.28260869565217,"Iowa"
19,"03",3.45573770491803,"Iowa"
19,"04",3.49801849405548,"Iowa"
19,"05",3.41281669150522,"Iowa"
19,"06",2.90034364261168,"Iowa"
19,"07",2.84643510054845,"Iowa"
19,"08",3.07936507936508,"Iowa"
19,"09",3.46875,"Iowa"
19,"10",3.20042643923241,"Iowa"
19,"11",2.62842465753425,"Iowa"
19,"12",3.04838709677419,"Iowa"
20,"01",3.23176661264182,"Kansas"
20,"02",3.13474692202462,"Kansas"
20,"03",3.26380952380952,"Kansas"
20,"04",3.75255813953488,"Kansas"
20,"05",2.90984284532672,"Kansas"
20,"06",3.38055130168453,"Kansas"
20,"07",3.2483660130719,"Kansas"
20,"08",3.33653230966091,"Kansas"
20,"09",3.30571761960327,"Kansas"
20,"10",3.37441424554827,"Kansas"
20,"11",3.34245660881175,"Kansas"
20,"12",3.22300469483568,"Kansas"
21,"01",4.62683438155136,"Kentucky"
21,"02",4.26096033402923,"Kentucky"
21,"03",5.28902953586498,"Kentucky"
21,"04",4.7516339869281,"Kentucky"
21,"05",4.58866995073892,"Kentucky"
21,"06",4.62631578947368,"Kentucky"
21,"07",4.97317073170732,"Kentucky"
21,"08",5.05695142378559,"Kentucky"
21,"09",4.61335403726708,"Kentucky"
21,"10",5.07692307692308,"Kentucky"
21,"11",6.08553971486762,"Kentucky"
21,"12",3.81194690265487,"Kentucky"
22,"01",4.775,"Louisiana"
22,"02",3.39901477832512,"Louisiana"
22,"03",5.30410447761194,"Louisiana"
22,"04",5.27142857142857,"Louisiana"
22,"05",4.49497487437186,"Louisiana"
22,"06",4.24905183312263,"Louisiana"
22,"07",4.72815533980583,"Louisiana"
22,"08",6.48666666666667,"Louisiana"
22,"09",5.14210526315789,"Louisiana"
22,"10",4.46474358974359,"Louisiana"
22,"11",4.48888888888889,"Louisiana"
22,"12",4.53448275862069,"Louisiana"
23,"01",3.90366972477064,"Maine"
23,"02",3.75819672131148,"Maine"
23,"03",3.80329949238579,"Maine"
23,"04",3.34936350777935,"Maine"
23,"05",4.08709175738725,"Maine"
23,"06",3.27231467473525,"Maine"
23,"07",3.09282700421941,"Maine"
23,"08",3.94353640416048,"Maine"
23,"09",3.50432276657061,"Maine"
23,"10",3.26540880503145,"Maine"
23,"11",4.29093198992443,"Maine"
23,"12",3.95066666666667,"Maine"
24,"01",3.63541666666667,"Maryland"
24,"02",3.55123113582208,"Maryland"
24,"03",2.92449177153921,"Maryland"
24,"04",4.08098159509202,"Maryland"
24,"05",3.38760631834751,"Maryland"
24,"06",3.46632124352332,"Maryland"
24,"07",3.20547945205479,"Maryland"
24,"08",3.220367278798,"Maryland"
24,"09",3.43564356435644,"Maryland"
24,"10",3.0497803806735,"Maryland"
24,"11",3.15601783060921,"Maryland"
24,"12",2.99454297407913,"Maryland"
25,"01",3.47976878612717,"Massachusetts"
25,"02",2.90892531876138,"Massachusetts"
25,"03",3.6375,"Massachusetts"
25,"04",3.5473441108545,"Massachusetts"
25,"05",3.41265060240964,"Massachusetts"
25,"06",3.26834862385321,"Massachusetts"
25,"07",3.58485639686684,"Massachusetts"
25,"08",2.92284866468843,"Massachusetts"
25,"09",3.45192307692308,"Massachusetts"
25,"10",4.07476635514019,"Massachusetts"
25,"11",3.44444444444444,"Massachusetts"
25,"12",3.08869179600887,"Massachusetts"
26,"01",4.00389105058366,"Michigan"
26,"02",3.86217552533993,"Michigan"
26,"03",3.29093198992443,"Michigan"
26,"04",3.34814049586777,"Michigan"
26,"05",4.21378340365682,"Michigan"
26,"06",3.70146818923328,"Michigan"
26,"07",3.6469465648855,"Michigan"
26,"08",3.61216216216216,"Michigan"
26,"09",4.39569892473118,"Michigan"
26,"10",4.30131826741996,"Michigan"
26,"11",3.79207920792079,"Michigan"
26,"12",4.17134831460674,"Michigan"
27,"01",3.12942061700527,"Minnesota"
27,"02",2.80728051391863,"Minnesota"
27,"03",3.61538461538462,"Minnesota"
27,"04",2.78989361702128,"Minnesota"
27,"05",2.73378839590444,"Minnesota"
27,"06",3.01112759643917,"Minnesota"
27,"07",2.63660714285714,"Minnesota"
27,"08",2.54993983152828,"Minnesota"
27,"09",2.85283296541575,"Minnesota"
27,"10",2.73278236914601,"Minnesota"
27,"11",2.87559354226021,"Minnesota"
27,"12",2.8163174320107,"Minnesota"
28,"01",4.58549222797927,"Mississippi"
28,"02",4.01025641025641,"Mississippi"
28,"03",4.24,"Mississippi"
28,"04",4.0226904376013,"Mississippi"
28,"05",3.73839009287926,"Mississippi"
28,"06",4.42615384615385,"Mississippi"
28,"07",4.80357142857143,"Mississippi"
28,"08",4.12,"Mississippi"
28,"09",4.59430604982206,"Mississippi"
28,"10",3.57432432432432,"Mississippi"
28,"11",3.55774647887324,"Mississippi"
28,"12",3.20388349514563,"Mississippi"
29,"01",3.7431693989071,"Missouri"
29,"02",3.8075117370892,"Missouri"
